Country,Type,Event,Date.effective,Link,X
Idaho,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Idaho#Government_response,placeholder
Illinois,Schools + Universities,placeholder,17.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#Government_response,placeholder
Illinois,travel_restrictions,placeholder,21.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#Government_response,placeholder
Illinois,Public events,placeholder,15.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#Government_response,placeholder
Illinois,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#Government_response,placeholder
Illinois,Lockdown,placeholder,20.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#Government_response,placeholder
Illinois,Self-isolating if ill,placeholder,15.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#Government_response,placeholder
Illinois,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#Government_response,placeholder
Indiana,Schools + Universities,placeholder,19.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indiana,placeholder
Indiana,travel_restrictions,placeholder,25.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indiana,placeholder
Indiana,Public events,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indiana,placeholder
Indiana,sport,placeholder,12.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indiana,placeholder
Indiana,Lockdown,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indiana,placeholder
Indiana,Self-isolating if ill,placeholder,23.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indiana,placeholder
Indiana,Social distancing encouraged,placeholder,13.04.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indiana,placeholder
Iowa,Schools + Universities,placeholder,16.03.2020,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iowa,placeholder
